央视频道,#genre#

CCTV-1高清,http://112.27.235.94:8000/hls/1/index.m3u8
CCTV-2高清,http://112.27.235.94:8000/hls/2/index.m3u8
CCTV-3高清,http://112.27.235.94:8000/hls/3/index.m3u8
CCTV-4高清,http://112.27.235.94:8000/hls/4/index.m3u8
CCTV-5高清,http://112.27.235.94:8000/hls/5/index.m3u8
CCTV-6高清,http://112.27.235.94:8000/hls/7/index.m3u8
CCTV-7高清,http://112.27.235.94:8000/hls/8/index.m3u8
CCTV-8高清,http://112.27.235.94:8000/hls/9/index.m3u8
CCTV-9高清,http://112.27.235.94:8000/hls/10/index.m3u8
CCTV10高清,http://112.27.235.94:8000/hls/11/index.m3u8
CCTV11高清,http://112.27.235.94:8000/hls/12/index.m3u8
CCTV12高清,http://112.27.235.94:8000/hls/13/index.m3u8
CCTV13高清,http://112.27.235.94:8000/hls/14/index.m3u8
CCTV14高清,http://112.27.235.94:8000/hls/15/index.m3u8
CCTV15高清,http://112.27.235.94:8000/hls/16/index.m3u8
CCTV5+高清,http://112.27.235.94:8000/hls/6/index.m3u8
肥西新闻综合,http://112.27.235.94:8000/hls/21/index.m3u8
安徽经济生活,http://112.27.235.94:8000/hls/22/index.m3u8
安徽公共高清,http://112.27.235.94:8000/hls/23/index.m3u8
安徽影视高清,http://112.27.235.94:8000/hls/24/index.m3u8
安徽综艺体育,http://112.27.235.94:8000/hls/25/index.m3u8
安徽卫视高清,http://112.27.235.94:8000/hls/26/index.m3u8
北京卫视高清,http://112.27.235.94:8000/hls/27/index.m3u8
东方卫视高清,http://112.27.235.94:8000/hls/28/index.m3u8
浙江卫视高清,http://112.27.235.94:8000/hls/29/index.m3u8
湖南卫视高清,http://112.27.235.94:8000/hls/31/index.m3u8
江苏卫视高清,http://112.27.235.94:8000/hls/32/index.m3u8
深圳卫视高清,http://112.27.235.94:8000/hls/33/index.m3u8
山东卫视高清,http://112.27.235.94:8000/hls/34/index.m3u8
四川卫视高清,http://112.27.235.94:8000/hls/35/index.m3u8
重庆卫视高清,http://112.27.235.94:8000/hls/36/index.m3u8
河南卫视高清,http://112.27.235.94:8000/hls/37/index.m3u8
东南卫视高清,http://112.27.235.94:8000/hls/38/index.m3u8
河北卫视高清,http://112.27.235.94:8000/hls/39/index.m3u8
云南卫视高清,http://112.27.235.94:8000/hls/40/index.m3u8
湖北卫视高清,http://112.27.235.94:8000/hls/41/index.m3u8
天津卫视高清,http://112.27.235.94:8000/hls/42/index.m3u8
陕西卫视高清,http://112.27.235.94:8000/hls/43/index.m3u8
江西卫视高清,http://112.27.235.94:8000/hls/44/index.m3u8
贵州卫视高清,http://112.27.235.94:8000/hls/46/index.m3u8
辽宁卫视高清,http://112.27.235.94:8000/hls/47/index.m3u8
黑龙江卫视高清,http://112.27.235.94:8000/hls/48/index.m3u8
重温经典高清,http://112.27.235.94:8000/hls/50/index.m3u8
合肥新闻,http://112.27.235.94:8000/hls/18/index.m3u8
合肥生活,http://112.27.235.94:8000/hls/19/index.m3u8
合肥科创,http://112.27.235.94:8000/hls/20/index.m3u8

湖北频道,#genre#

CCTV-1高清,http://61.184.46.85:9901/tsfile/live/0001_1.m3u8
CCTV-2高清,http://61.184.46.85:9901/tsfile/live/0002_1.m3u8
CCTV-3高清,http://61.184.46.85:9901/tsfile/live/0003_1.m3u8
CCTV-4高清,http://61.184.46.85:9901/tsfile/live/0004_1.m3u8
CCTV-5高清,http://61.184.46.85:9901/tsfile/live/0005_1.m3u8
CCTV-6高清,http://61.184.46.85:9901/tsfile/live/0006_1.m3u8
CCTV-7高清,http://61.184.46.85:9901/tsfile/live/0007_1.m3u8
CCTV-8高清,http://61.184.46.85:9901/tsfile/live/0008_1.m3u8
CCTV-9高清,http://61.184.46.85:9901/tsfile/live/0009_1.m3u8
CCTV10高清,http://61.184.46.85:9901/tsfile/live/0010_1.m3u8
CCTV11高清,http://61.184.46.85:9901/tsfile/live/0011_1.m3u8
CCTV12高清,http://61.184.46.85:9901/tsfile/live/0012_1.m3u8
CCTV13高清,http://61.184.46.85:9901/tsfile/live/0013_1.m3u8
CCTV14高清,http://61.184.46.85:9901/tsfile/live/0014_1.m3u8
CCTV15高清,http://61.184.46.85:9901/tsfile/live/0015_1.m3u8
荆州新闻综合,http://61.184.46.85:9901/tsfile/live/0016_1.m3u8
荆州垄上高清,http://61.184.46.85:9901/tsfile/live/0017_1.m3u8
湖北卫视高清,http://61.184.46.85:9901/tsfile/live/0018_1.m3u8
湖北经视高清,http://61.184.46.85:9901/tsfile/live/0019_1.m3u8
湖北影视高清,http://61.184.46.85:9901/tsfile/live/1000_1.m3u8
湖北生活高清,http://61.184.46.85:9901/tsfile/live/1001_1.m3u8
湖南卫视高清,http://61.184.46.85:9901/tsfile/live/1002_1.m3u8
广东卫视高清,http://61.184.46.85:9901/tsfile/live/1003_1.m3u8
深圳卫视高清,http://61.184.46.85:9901/tsfile/live/1004_1.m3u8
江苏卫视高清,http://61.184.46.85:9901/tsfile/live/1005_1.m3u8
安徽卫视高清,http://61.184.46.85:9901/tsfile/live/1006_1.m3u8
浙江卫视高清,http://61.184.46.85:9901/tsfile/live/1007_1.m3u8
东方卫视高清,http://61.184.46.85:9901/tsfile/live/1008_1.m3u8
山东卫视高清,http://61.184.46.85:9901/tsfile/live/1009_1.m3u8
北京卫视高清,http://61.184.46.85:9901/tsfile/live/1010_1.m3u8
天津卫视高清,http://61.184.46.85:9901/tsfile/live/1011_1.m3u8
河南卫视高清,http://61.184.46.85:9901/tsfile/live/1012_1.m3u8
河北卫视高清,http://61.184.46.85:9901/tsfile/live/1013_1.m3u8
黑龙江卫视高清,http://61.184.46.85:9901/tsfile/live/1014_1.m3u8
重庆卫视高清,http://61.184.46.85:9901/tsfile/live/1015_1.m3u8
四川卫视高清,http://61.184.46.85:9901/tsfile/live/1016_1.m3u8
辽宁卫视高清,http://61.184.46.85:9901/tsfile/live/1017_1.m3u8
